iter	Passed	Remaining
621	4071	2474
622	4075	2466
623	4081	2459
624	4087	2452
625	4092	2445
626	4098	2438
627	4104	2431
628	4109	2423
629	4115	2417
630	4120	2409
631	4126	2402
632	4132	2395
633	4136	2388
634	4143	2381
635	4148	2374
636	4153	2367
637	4160	2360
638	4165	2353
639	4170	2346
640	4177	2339
641	4182	2332
642	4188	2325
643	4193	2318
644	4198	2310
645	4205	2304
646	4210	2297
647	4215	2290
648	4221	2283
649	4226	2275
650	4232	2269
651	4238	2262
652	4243	2254
653	4250	2248
654	4255	2241
655	4260	2234
656	4267	2227
657	4271	2220
658	4279	2214
659	4284	2206
660	4288	2199
661	4295	2193
662	4300	2185
663	4306	2179
664	4312	2172
665	4318	2165
666	4326	2160
667	4332	2153
668	4339	2147
669	4345	2140
670	4350	2133
671	4357	2126
672	4362	2119
673	4367	2112
674	4373	2105
675	4380	2099
676	4385	2092
677	4393	2086
678	4399	2079
679	4406	2073
680	4413	2067
681	4418	2060
682	4425	2054
683	4430	2046
684	4438	2040
685	4443	2033
686	4449	2027
687	4480	2031
688	4487	2025
689	4494	2019
690	4502	2013
691	4507	2006
692	4513	1999
693	4519	1992
694	4524	1985
695	4531	1979
696	4536	1971
697	4540	1964
698	4547	1958
699	4552	1950
700	4559	1944
701	4564	1937
702	4569	1930
703	4576	1924
704	4581	1917
705	4586	1909
706	4592	1903
707	4597	1896
708	4603	1889
709	4609	1882
710	4614	1875
711	4621	1869
712	4626	1862
713	4630	1854
714	4637	1848
715	4642	1841
716	4647	1834
717	4653	1827
718	4658	1820
719	4665	1814
720	4670	1807
721	4676	1800
722	4682	1793
723	4687	1786
724	4693	1780
725	4698	1773
726	4703	1766
727	4710	1760
728	4715	1752
729	4721	1746
730	4727	1739
731	4732	1732
732	4739	1726
733	4744	1719
734	4749	1712
735	4756	1706
736	4761	1699
737	4768	1692
738	4774	1686
739	4778	1679
740	4786	1672
741	4790	1665
742	4796	1659
743	4802	1652
744	4807	1645
745	4813	1638
746	4818	1632
747	4823	1624
748	4831	1618
749	4836	1612
750	4843	1605
751	4848	1599
752	4853	1592
753	4860	1585
754	4865	1578
755	4871	1572
756	4877	1565
757	4882	1558
758	4889	1552
759	4894	1545
760	4900	1538
761	4906	1532
762	4910	1525
763	4917	1518
764	4922	1512
765	4927	1505
766	4934	1499
767	4939	1492
768	4945	1485
769	4951	1478
